RESOLUÃÃO,CTT,UNNAMED: 2,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,SITUAÃÃO
20/01/2025,107317,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,JULIANA,RESOLVIDO
03/01/2025,208601,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,VITORIA,RESOLVIDO
07/01/2025,206356,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,FABIANA,RESOLVIDO
07/01/2025,208636,2.0,50% A 80%,ATIVO,ADRIANO,OMNI,MARIA BRUNA,RESOLVIDO
07/01/2025,211128,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,EDIANE,RESOLVIDO
08/01/2025,207110,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,EDIANE,RESOLVIDO
08/01/2025,208231,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,MARIA BRUNA,RESOLVIDO
10/01/2025,173138,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,VITORIA,RESOLVIDO
10/01/2025,217944,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,MONYZA,RESOLVIDO
10/01/2025,218124,1.0,50% A 80%,ATIVO,ADRIANO,ITAÃ,JULIA,RESOLVIDO
13/01/2025,153973,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,VITORIA,RESOLVIDO
13/01/2025,212630,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
13/01/2025,217489,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,IZABEL,RESOLVIDO
13/01/2025,221062,2.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,JULIANA,RESOLVIDO
13/01/2025,221679,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,MARIA BRUNA,RESOLVIDO
14/01/2025,222836,1.0,50% A 80%,ATIVO,ADRIANO,SANTANDER,ITAYNNARA,RESOLVIDO
16/01/2025,123387,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,ITAYNNARA,RESOLVIDO
17/01/2025,170894,1.0,50% A 80%,ATIVO,ADRIANO,ITAÃ,MONYZA,RESOLVIDO
17/01/2025,203793,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,KATIA,RESOLVIDO
17/01/2025,210781,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
20/01/2025,219397,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,ITAYNNARA,RESOLVIDO
22/01/2025,173277,1.0,50% A 80%,ATIVO,ADRIANO,RENNER,MARIA BRUNA,RESOLVIDO
16/01/2025,189073,1.0,50% A 80%,ATIVO,LEANDRO,PANAMERICANO,JULIA,RESOLVIDO
21/01/2025,183839,1.0,50% A 80%,ATIVO,LEANDRO,BRADESCO,MARIA BRUNA,RESOLVIDO
09/01/2025,217485,1.0,"R$14.000,00",RECEPTIVO,LEANDRO,PANAMERICANO,VITORIA,RESOLVIDO
08/01/2025,213335,1.0,50% A 80%,ATIVO,FECHADO,PANAMERICANO,BRUNO MARIANO,RESOLVIDO
02/01/2025,214060,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,KATIA,RESOLVIDO
02/01/2025,221030,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,FABIANA,RESOLVIDO
03/01/2025,217654,1.0,50% A 80%,ATIVO,ADRIANO,PANAMERICANO,VICTOR ADRIANO,RESOLVIDO
07/01/2025,196175,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,ALINE SALVADOR,RESOLVIDO
07/01/2025,213683,1.0,50% A 80%,ATIVO,ADRIANO,BRADESCO,VICTOR ADRIANO,RESOLVIDO
08/01/2025,209916,1.0,50% A 80%,ATIVO,ADRIANO,VOLKSWAGEN,MONYZA,RESOLVIDO
08/01/2025,219747,1.0,50% A 80%,ATIVO,ADRIANO,BV FINANCEIRA,JULIANA,RESOLVIDO
